trap_ID_decimal,batch_date,trap_status,total_sample_minutes,total_catch,catch_imputed,discharge,discharge_scaled,efficiency_imputed,efficiency,unimputed_efficiency,passage,p.c.imputed,p.e.imputed,jday,week,month,year
Lower Feather River RST RR,1/21/2022,fishing,1440.4,6,FALSE,1654,-1.278936577,0.01304636,0.01304636,NA,460,0,0.01304636,21,3,1,2022
Lower Feather River RST RR,1/22/2022,fishing,1409.716667,5,FALSE,1653,-1.279784373,0.01304636,0.01304636,NA,383,0,0.01304636,22,3,1,2022
Lower Feather River RST RR,1/23/2022,fishing,1620.533333,4,FALSE,1648,-1.284023355,0.01304636,0.01304636,NA,307,0,0.01304636,23,3,1,2022
Lower Feather River RST RR,1/24/2022,fishing,1274.416667,6,FALSE,1640,-1.290805725,0.01304636,0.01304636,NA,460,0,0.01304636,24,4,1,2022
Lower Feather River RST RR,1/25/2022,fishing,1395,5,FALSE,1654,-1.278936577,0.01304636,0.01304636,NA,383,0,0.01304636,25,4,1,2022
Lower Feather River RST RR,1/26/2022,fishing,1455.066667,2,FALSE,1644,-1.28741454,0.01304636,0.01304636,NA,153,0,0.01304636,26,4,1,2022
Lower Feather River RST RR,1/27/2022,fishing,1440.433333,4,FALSE,1654,-1.278936577,0.01304636,0.01304636,NA,307,0,0.01304636,27,4,1,2022
Lower Feather River RST RR,1/28/2022,fishing,1454.583333,1,FALSE,1663,-1.271306411,0.01304636,0.01304636,NA,77,0,0.01304636,28,4,1,2022
Lower Feather River RST RR,1/29/2022,fishing,1455.333333,1,FALSE,1820,-1.138202399,0.01304636,0.01304636,NA,77,0,0.01304636,29,4,1,2022
Lower Feather River RST RR,1/30/2022,fishing,1440.316667,5,FALSE,2867,-0.250559718,0.01304636,0.01304636,NA,383,0,0.01304636,30,4,1,2022
Lower Feather River RST RR,2/1/2022,fishing,1484.55,12,FALSE,3260,0.082624211,0.01304636,0.01304636,NA,920,0,0.01304636,32,5,2,2022
Lower Feather River RST RR,2/2/2022,fishing,1379.9,28,FALSE,3309,0.124166228,0.006105228,0.006144393,0.006144393,4557,0,0.006105228,33,5,2,2022
