trap_ID_decimal,batch_date,trap_status,total_sample_minutes,total_catch,catch_imputed,discharge,discharge_scaled,efficiency_imputed,efficiency,unimputed_efficiency,passage,p.c.imputed,p.e.imputed,jday,week,month,year
Lower Feather River RST RL,3/17/2022,fishing,1470.016667,23,FALSE,3163,0.000387975,0.002898971,0.002898971,NA,7934,0,0.002898971,76,11,3,2022
Lower Feather River RST RL,3/18/2022,fishing,1394.55,10,FALSE,3151,-0.009785581,0.002898971,0.002898971,NA,3450,0,0.002898971,77,11,3,2022
Lower Feather River RST RL,3/19/2022,fishing,1439.733333,9,FALSE,3115,-0.040306246,0.002898971,0.002898971,NA,3105,0,0.002898971,78,11,3,2022
Lower Feather River RST RL,3/20/2022,fishing,1439.95,25,FALSE,3091,-0.060653356,0.002898971,0.002898971,NA,8624,0,0.002898971,79,11,3,2022
Lower Feather River RST RL,3/21/2022,fishing,1440.5,14,FALSE,3079,-0.070826911,0.002898971,0.002898971,NA,4829,0,0.002898971,80,12,3,2022
Lower Feather River RST RL,3/22/2022,fishing,1484.933333,20,FALSE,3020,-0.12084689,0.002898971,0.002898971,NA,6899,0,0.002898971,81,12,3,2022
Lower Feather River RST RL,3/23/2022,fishing,1439.9,10,FALSE,3020,-0.12084689,0.002898971,0.002898971,NA,3450,0,0.002898971,82,12,3,2022
Lower Feather River RST RL,3/24/2022,fishing,1440.3,7,FALSE,3008,-0.131020445,0.002898971,0.002898971,NA,2415,0,0.002898971,83,12,3,2022
Lower Feather River RST RL,3/25/2022,fishing,1410.266667,8,FALSE,3008,-0.131020445,0.002898971,0.002898971,NA,2760,0,0.002898971,84,12,3,2022
Lower Feather River RST RL,3/26/2022,fishing,1424.416667,7,FALSE,3223,0.05125575,0.002898971,0.002898971,NA,2415,0,0.002898971,85,12,3,2022
Lower Feather River RST RL,3/27/2022,fishing,1439.966667,9,FALSE,3772,0.516695895,0.002898971,0.002898971,NA,3105,0,0.002898971,86,12,3,2022
Lower Feather River RST RL,3/28/2022,fishing,1440.1,15,FALSE,3862,0.592997558,0.002898971,0.002898971,NA,5174,0,0.002898971,87,13,3,2022
Lower Feather River RST RL,3/29/2022,fishing,1515.233333,7,FALSE,3862,0.592997558,0.002898971,0.002898971,NA,2415,0,0.002898971,88,13,3,2022
Lower Feather River RST RL,3/30/2022,fishing,1379.483333,0,FALSE,3875,0.60401891,0.002898971,0.002898971,NA,0,0,0.002898971,89,13,3,2022
Lower Feather River RST RL,3/31/2022,fishing,1439.933333,79,FALSE,3862,0.592997558,0.002898971,0.002898971,NA,27251,0,0.002898971,90,13,3,2022
Lower Feather River RST RL,4/1/2022,fishing,1440.466667,21,FALSE,3824,0.5607813,0.002898971,0.002898971,NA,7244,0,0.002898971,91,13,4,2022
